tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,Descricao Chuva,Calor,predicao_xgb_clima,predicao_lr_clima,predicao_rf_clima
912,6,1569116992,1,4,22,0,1,1034.7255,1291.9842587334858,1029.6067992450571
923,6,1569116165,1,4,22,0,1,1034.7255,1291.9830081215357,1029.6067992450571
976,6,1569114585,1,4,22,0,1,1034.7255,1291.9806188024534,1029.6067992450571
852,6,1569113929,1,4,21,0,1,1043.5829,1277.5412454809937,1023.9880539675088
978,6,1569113149,1,4,21,0,1,1043.5829,1277.5400659437253,1023.9880539675088
1122,6,1569112268,1,4,21,0,1,1043.5829,1277.5387336715028,1023.9880539675088
971,6,1569111213,1,4,21,0,1,1043.5829,1277.537138271736,1023.9880539675088
1214,6,1569110156,1,4,20,0,1,1111.0887,1263.0971585471414,1132.6590478357207
923,6,1569109694,1,4,20,0,1,1111.0887,1263.0964598981443,1132.6590478357207
1459,6,1569109055,1,4,20,0,1,1111.0887,1263.0954935849202,1132.6590478357207
1129,6,1569108074,1,4,20,0,1,1111.0887,1263.0940100899713,1132.6590478357207
1093,6,1569107032,1,4,20,0,1,1111.0887,1263.092434349159,1132.6590478357207
1292,6,1569105621,1,4,19,0,1,1271.0328,1248.6519192961125,1236.2786360597815
1046,6,1569104646,1,4,19,0,1,1271.0328,1248.6504448745266,1236.2786360597815
1083,6,1569104230,1,4,19,0,1,1271.0328,1248.6498157879835,1236.2786360597815
1037,6,1569103171,1,4,18,0,1,1283.9983,1234.2098330389351,1235.608423886089
1466,6,1569102342,1,4,18,0,1,1283.9983,1234.2085794025304,1235.608423886089
1269,6,1569101881,1,4,18,0,1,1283.9983,1234.2078822657602,1235.608423886089
1161,6,1569101046,1,4,18,0,1,1283.9983,1234.2066195559921,1235.608423886089
1285,6,1569100456,1,4,18,0,1,1283.9983,1234.2057273419048,1235.608423886089
1295,6,1569100046,1,4,18,0,1,1283.9983,1234.205107328725,1235.608423886089
1186,6,1569099251,1,3,17,0,1,1283.9983,1219.7655238076748,1232.6954055779236
1050,6,1569098439,1,3,17,0,1,1283.9983,1219.7642958791341,1232.6954055779236
1298,6,1569097895,1,3,17,0,1,1283.9983,1219.7634732275008,1232.6954055779236
1330,6,1569097289,1,3,17,0,1,1283.9983,1219.7625568177766,1232.6954055779236
1134,6,1569095823,1,3,16,0,1,1280.3549,1205.32195859223,1223.0016748190296
1341,6,1569095236,1,3,16,0,1,1280.3549,1205.3210709148245,1223.0016748190296
1183,6,1569094628,1,3,16,0,1,1280.3549,1205.3201514806458,1223.0016748190296
1200,6,1569093181,1,3,16,0,1,1280.3549,1205.3179632877902,1223.0016748190296
1256,6,1569092628,1,3,16,0,1,1280.3549,1205.3171270261116,1223.0016748190296
1410,6,1569092000,1,3,15,0,1,1247.6707,1190.877796047015,1230.6691528451272
1300,6,1569091395,1,3,15,0,1,1247.6707,1190.876881149518,1230.6691528451272
1348,6,1569090807,1,3,15,0,1,1247.6707,1190.8759919598854,1230.6691528451272
1251,6,1569090389,1,3,15,0,1,1247.6707,1190.8753598488877,1230.6691528451272
1470,6,1569089316,1,3,15,0,1,1247.6707,1190.87373722903,1230.6691528451272
1535,6,1569088698,1,3,14,0,1,1244.2888,1176.4344213722059,1228.797214587044
1345,6,1569087956,1,3,14,0,1,1244.2888,1176.4332992995735,1228.797214587044
1207,6,1569087380,1,3,14,0,1,1244.2888,1176.432428256668,1228.797214587044
1382,6,1569086833,1,3,14,0,1,1244.2888,1176.4316010683526,1228.797214587044
1459,6,1569086061,1,3,14,0,1,1244.2888,1176.4304336289022,1228.797214587044
1222,6,1569085638,1,3,14,0,1,1244.2888,1176.4297939567684,1228.797214587044
1453,6,1569084978,1,3,13,0,1,1247.868,1161.9904145863995,1232.571343632884
1449,6,1569084344,1,3,13,0,1,1247.868,1161.9894558343124,1232.571343632884
1384,6,1569082676,1,3,13,0,1,1247.868,1161.9869334392304,1232.571343632884
1403,6,1569081667,1,3,13,0,1,1247.868,1161.985407601918,1232.571343632884
1265,6,1569081187,1,3,12,0,1,1247.868,1147.5463004324567,1231.4522238946931
1032,6,1569080090,1,3,12,0,1,1247.868,1147.5446415191448,1231.4522238946931
1200,6,1569079380,1,3,12,0,1,1247.868,1147.543567837785,1231.4522238946931
1270,6,1569078862,1,3,12,0,1,1247.868,1147.5427845040606,1231.4522238946931
1462,6,1569078160,1,3,12,0,1,1247.868,1147.5417229205193,1231.4522238946931
1427,6,1569077499,1,2,11,0,1,1229.4861,1133.1023420379227,1228.6842808430215
1138,6,1569076689,1,2,11,0,1,1229.4861,1133.1011171338362,1228.6842808430215
1416,6,1569076276,1,2,11,0,1,1229.4861,1133.100492583975,1228.6842808430215
1225,6,1569075424,1,2,11,0,1,1229.4861,1133.0992041663433,1228.6842808430215
1364,6,1569075274,1,2,11,0,1,1229.4861,1133.0989773322533,1228.6842808430215
1278,6,1569074278,1,2,10,0,1,1151.1394,1118.6590898535221,1186.9902787724075
2254,6,1569073274,1,2,10,0,1,1151.1394,1118.6575715773458,1186.9902787724075
1443,6,1569073029,1,2,10,0,1,1151.1394,1118.6572010816656,1186.9902787724075
1118,6,1569072077,1,2,10,0,1,1151.1394,1118.655761441307,1186.9902787724075
1292,6,1569071522,1,2,10,0,1,1151.1394,1118.6549221551738,1186.9902787724075
1352,6,1569070886,1,2,10,0,1,1151.1394,1118.653960378632,1186.9902787724075
1169,6,1569070288,1,2,9,0,1,1081.9484,1104.2146747663535,1092.6716700750078
1235,6,1569069365,1,2,9,0,1,1081.9484,1104.2132789805858,1092.6716700750078
1174,6,1569068764,1,2,9,0,1,1081.9484,1104.2123701319981,1092.6716700750078
1142,6,1569068318,1,2,9,0,1,1081.9484,1104.211695678637,1092.6716700750078
1020,6,1569067531,1,2,9,0,1,1081.9484,1104.210505555778,1092.6716700750078
942,6,1569066823,1,2,8,0,1,1070.9813,1089.7710535985,1101.104465133573
957,6,1569066457,1,2,8,0,1,1070.9813,1089.7705001233205,1101.104465133573
1130,6,1569065474,1,2,8,0,1,1070.9813,1089.7690136039166,1101.104465133573
1070,6,1569064778,1,2,8,0,1,1070.9813,1089.7679610937387,1101.104465133573
1095,6,1569064341,1,2,8,0,1,1070.9813,1089.7673002504232,1101.104465133573
869,6,1569063447,1,2,7,0,1,1061.1592,1075.3275670188734,1045.5027999703607
1030,6,1569062670,1,2,7,0,1,1061.1592,1075.326392018287,1045.5027999703607
816,6,1569061817,1,2,7,0,1,1061.1592,1075.325102088428,1045.5027999703607
1053,6,1569061090,1,2,7,0,1,1061.1592,1075.3240026992046,1045.5027999703607
1291,6,1569060348,1,2,7,0,1,1061.1592,1075.3228806265722,1045.5027999703607
872,6,1569059783,1,2,6,0,1,964.0926,1060.8836449177936,996.2804278632207
904,6,1569059071,1,2,6,0,1,964.0926,1060.8825682119793,996.2804278632207
869,6,1569058355,1,2,6,0,1,964.0926,1060.8814854572558,996.2804278632207
1032,6,1569057698,1,2,6,0,1,964.0926,1060.8804919239417,996.2804278632207
942,6,1569056916,1,2,6,0,1,964.0926,1060.8793093622187,996.2804278632207
848,6,1569056165,1,2,5,0,1,861.7089,1046.4397923791682,901.478534407312
939,6,1569054873,1,2,5,0,1,861.7089,1046.4378385815387,901.478534407312
863,6,1569054008,1,2,5,1,1,861.7089,1061.6710959274144,867.5174791270464
867,6,1569053107,1,2,5,1,1,861.7089,1061.6697334106464,867.5174791270464
802,6,1569052384,1,1,4,1,1,821.2915,1047.2302587699594,849.5813956345211
1040,6,1569037265,1,1,0,0,1,848.7846,974.2193047819549,914.5667087565535
786,6,1569035713,1,1,0,0,1,848.7846,974.216957805236,914.5667087565535
892,6,1569034882,1,1,0,0,1,848.7846,974.2157011443771,914.5667087565535
916,5,1569033949,1,4,23,0,1,1043.6661,1319.0746304294828,1050.696670452399
856,5,1569032893,1,4,23,0,1,1043.6661,1319.0730335174883,1050.696670452399
978,5,1569032208,1,4,23,0,1,1043.6661,1319.0719976418106,1050.696670452399
881,5,1569031409,1,4,23,0,1,1043.6661,1319.070789372224,1050.696670452399
860,5,1569030493,1,4,22,0,1,1064.6774,1304.6310228716745,1063.7985116805205
1045,5,1569029466,1,4,22,0,1,1064.6774,1304.6294698142708,1063.7985116805205
1038,5,1569028052,1,4,22,1,1,1064.6774,1319.8618969473766,1030.6060533237473
1163,5,1569027440,1,4,21,1,1,1078.1919,1305.4225901639163,1040.0504382016018
1141,5,1569026788,1,4,21,1,1,1078.1919,1305.4216041917382,1040.0504382016018
975,5,1569026116,1,4,21,1,1,1078.1919,1305.4205879750145,1040.0504382016018
1085,5,1569025250,1,4,21,1,1,1078.1919,1305.419278386201,1040.0504382016018
1024,5,1569024647,1,4,21,1,1,1078.1919,1305.4183665131588,1040.0504382016018
1686,5,1569023702,1,4,20,1,1,1151.3458,1290.9785561580186,1105.1670310217994
1200,5,1569023033,1,4,20,1,1,1151.3458,1290.9775444779768,1105.1670310217994
1218,5,1569022286,1,4,20,1,1,1151.3458,1290.9764148442084,1105.1670310217994
886,5,1569021619,1,4,20,0,1,1151.3458,1275.7408407661599,1141.340504498448
1170,5,1569020725,1,4,20,0,1,1151.3458,1275.739488834983,1141.340504498448
1341,5,1569020365,1,4,19,0,1,1368.1527,1261.300563132794,1322.339522151034
1325,5,1569019622,1,4,19,0,1,1368.1527,1261.2994395479343,1322.339522151034
1513,5,1569019322,1,4,19,0,1,1368.1527,1261.2989858797544,1322.339522151034
1392,5,1569018650,1,4,19,0,1,1368.1527,1261.2979696630307,1322.339522151034
1592,5,1569018604,1,4,19,0,1,1368.1527,1261.2979001005767,1322.339522151034
1151,5,1569017715,1,4,19,0,1,1368.1527,1261.2965557305358,1322.339522151034
1498,5,1569017186,1,4,19,0,1,1368.1527,1261.295755762312,1322.339522151034
1333,5,1569016730,1,4,18,0,1,1412.4574,1246.8566848863054,1335.3327211707515
1607,5,1569016339,1,4,18,0,1,1412.4574,1246.856093605444,1335.3327211707515
1377,5,1569015686,1,4,18,0,1,1412.4574,1246.8551061210385,1335.3327211707515
1534,5,1569015403,1,4,18,0,1,1412.4574,1246.8546781607217,1335.3327211707515
1799,5,1569014891,1,4,18,0,1,1412.4574,1246.853903900361,1335.3327211707515
1289,5,1569014334,1,4,18,0,1,1412.4574,1246.8530615897732,1335.3327211707515
1657,5,1569013433,1,4,18,0,1,1412.4574,1246.8516990730056,1335.3327211707515
1406,5,1569012874,1,3,17,0,1,1412.4574,1232.4124724375904,1335.62034072087
1383,5,1569012078,1,3,17,0,1,1412.4574,1232.4112687046857,1335.62034072087
1354,5,1569011700,1,3,17,0,1,1412.4574,1232.4106970827786,1335.62034072087
1393,5,1569011423,1,3,17,0,1,1412.4574,1232.4102781958256,1335.62034072087
1783,5,1569010710,1,3,17,0,1,1412.4574,1232.409199977784,1335.62034072087
1422,5,1569010209,1,3,17,0,1,1412.4574,1232.4084423519232,1335.62034072087
1308,5,1569009029,1,3,16,0,1,1379.2742,1217.9682766233752,1314.9903070566213
1313,5,1569008735,1,3,16,0,1,1379.2742,1217.9678320285586,1314.9903070566213
1333,5,1569007965,1,3,16,0,1,1379.2742,1217.9666676135628,1314.9903070566213
1430,5,1569007374,1,3,16,0,2,1379.2742,1308.2022540582168,1320.9620155733478
1334,5,1569006958,1,3,16,0,2,1379.2742,1308.2016249716733,1320.9620155733478
1544,5,1569005626,1,3,15,0,2,1321.9971,1293.7612293845807,1311.5987899957163
1401,5,1569005164,1,3,15,0,2,1321.9971,1293.7605307355832,1311.5987899957163
1287,5,1569004143,1,3,15,0,2,1321.9971,1293.7589867515437,1311.5987899957163
1530,5,1569003794,1,3,15,0,2,1321.9971,1293.7584589842274,1311.5987899957163
1268,5,1569003146,1,3,15,0,2,1321.9971,1293.757479060958,1311.5987899957163
1369,5,1569002267,1,3,14,0,2,1265.867,1279.3177685128173,1259.114978931104
1240,5,1569001792,1,3,14,0,2,1265.867,1279.3170502048654,1259.114978931104
1337,5,1569001303,1,3,14,0,2,1265.867,1279.3163107257317,1259.114978931104
1286,5,1569000748,1,3,14,0,2,1265.867,1279.3154714395985,1259.114978931104
1217,5,1569000533,1,3,14,0,2,1265.867,1279.3151463107363,1259.114978931104
