tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,predicao_xgb,predicao_lr,predicao_rf
1757,5,1569622633,1,4,1569.039,1246.4149120390066,1633.455
1679,5,1569621099,1,4,1569.039,1246.4384031219306,1618.055
1385,5,1569620030,1,4,1511.9305,1246.4547733746294,1473.335
1630,5,1569619686,1,4,1511.9305,1246.4600412576328,1584.81
1654,5,1569619173,1,4,1511.9305,1246.467897141294,1593.355
1435,5,1569618863,1,4,1439.572,1246.4726443614418,1517.8
1325,5,1569617830,1,3,1484.4309,1158.3121671745357,1446.05
1630,5,1569617252,1,3,1625.7299,1158.3210184430682,1613.6
1595,5,1569616869,1,3,1625.7299,1158.3268835569907,1620.59
1807,5,1569616345,1,3,1668.2985,1158.334907890403,1746.54
1773,5,1569615727,1,3,1668.2985,1158.344371703468,1769.495
1769,5,1569615574,1,3,1668.2985,1158.346714686315,1769.175
1683,5,1569614527,1,3,1668.2985,1158.3627480395226,1612.305
1382,5,1569614110,1,3,1501.8865,1158.3691338163007,1480.625
1582,5,1569613518,1,3,1501.8865,1158.3781994754208,1526.715
1406,5,1569613071,1,3,1501.8865,1158.3850446606011,1462.405
1642,5,1569612472,1,3,1501.8865,1158.394217515015,1551.875
1359,5,1569611986,1,3,1501.8865,1158.4016599311144,1419.64
1434,5,1569611689,1,3,1501.8865,1158.4062080742879,1449.025
1615,5,1569611009,1,3,1523.2433,1158.4166213313838,1589.395
1654,5,1569610416,1,3,1523.2433,1158.4257023041173,1516.155
1137,5,1569609732,1,3,1291.97,1158.4361768156668,1255.5
1418,5,1569609242,1,3,1321.185,1158.4436804862235,1360.96
1180,5,1569608659,1,3,1321.185,1158.452608322823,1280.13
1494,5,1569608270,1,3,1321.185,1158.4585653184258,1415.095
1356,5,1569607823,1,3,1321.185,1158.465410503606,1342.345
1242,5,1569607313,1,3,1273.3995,1158.4732204464308,1278.545
1177,5,1569606349,1,3,1273.3995,1158.487982769726,1242.265
1393,5,1569605837,1,3,1273.3995,1158.4958233397738,1307.135
1143,5,1569604798,1,3,1231.428,1158.5117341840742,1159.495
1129,5,1569604435,1,3,1231.428,1158.5172930257322,1147.03
1273,5,1569603994,1,3,1231.428,1158.524046329232,1264.67
1316,5,1569603454,1,3,1231.428,1158.5323156804552,1247.185
1108,5,1569603016,1,3,1207.2079,1158.5390230431149,1171.095
1208,5,1569602027,1,3,1207.2079,1158.554168206745,1187.515
1105,5,1569601016,1,3,1207.2079,1158.5696502698702,1186.34
1316,5,1569600609,1,3,1273.6836,1158.5758829105143,1276.845
1340,5,1569600140,1,3,1308.8369,1158.5830649951895,1352.78
1502,5,1569599630,1,3,1332.1368,1158.5908749380105,1365.28
1002,5,1569599091,1,3,1105.7211,1158.5991289756203,1092.72
1049,5,1569598663,1,3,1105.7211,1158.6056832021459,1089.875
1289,5,1569598121,1,3,1169.0334,1158.6139831805995,1218.4
1110,5,1569597155,1,3,1169.0334,1158.6287761311214,1170.115
1327,5,1569596732,1,3,1322.6204,1158.63525378958,1252.575
1510,5,1569596003,1,2,1268.7755,1070.470121264203,1351.49
1029,5,1569595596,1,2,1141.7495,1070.4763539048472,1098.71
1077,5,1569595252,1,2,1141.7495,1070.4816217878506,1109.55
1394,5,1569594749,1,2,1202.9388,1070.4893245353778,1322.245
1249,5,1569594302,1,2,1202.9388,1070.496169720558,1267.66
1126,5,1569593348,1,2,1164.0555,1070.5107789077192,1161.995
1222,5,1569592836,1,2,1178.4556,1070.5186194777707,1186.62
1118,5,1569592166,1,2,1131.5193,1070.5288795987326,1128.94
1146,5,1569591716,1,2,1131.5193,1070.535770724753,1108.3
918,5,1569591464,1,2,1063.0684,1070.5396297553234,1019.38
1190,5,1569589808,1,2,1063.0684,1070.564989099079,1122.47
1029,5,1569589192,1,2,1063.0684,1070.574422284917,1065.395
879,5,1569588207,1,2,1039.8416,1070.5895061940973,967.88
1135,5,1569587910,1,2,1078.4318,1070.5940543372708,1062.365
1136,5,1569587388,1,2,1078.4318,1070.6020480434527,1097.775
982,5,1569587070,1,2,1078.4318,1070.6069177725076,1042.185
1171,5,1569586579,1,2,1078.4318,1070.614436756674,1109.135
991,5,1569585974,1,2,1078.4318,1070.6237014927683,1039.76
1112,5,1569585490,1,2,1096.5337,1070.6311132816445,1087.035
1226,5,1569584748,1,2,1096.5337,1070.6424759827678,1132.3379761904764
931,5,1569584455,1,2,1019.8349,1070.6469628714876,994.1579761904763
1014,5,1569584019,1,2,1019.8349,1070.6536396069205,988.6340873015877
964,5,1569583972,1,2,1019.8349,1070.6543593467504,988.6340873015877
1085,5,1569583058,1,2,1019.8349,1070.668355989379,1043.4083333333335
919,5,1569582550,1,2,1019.8349,1070.6761353049733,963.95
1025,5,1569582150,1,2,1032.485,1070.6822607503236,1015.77
1033,5,1569581911,1,2,1032.485,1070.6859207039233,1030.78
1064,5,1569581427,1,2,1032.485,1070.693332492796,1056.755
1047,5,1569581215,1,2,1032.485,1070.6965789788337,1050.08
997,5,1569580799,1,2,1032.485,1070.7029494419985,1036.905
1154,5,1569580451,1,2,1052.2007,1070.7082785794555,1111.375
1110,5,1569579925,1,2,1052.2007,1070.716333540091,1105.3346666666666
1039,5,1569579176,1,2,1004.9533,1070.7278034365117,968.9815833333332
870,5,1569579113,1,2,1004.9533,1070.7287681941525,968.9815833333332
1116,5,1569578534,1,2,1032.335,1070.7376347762984,1028.8195833333332
838,5,1569578378,1,2,990.6348,1070.7400236999856,909.2795833333333
1076,5,1569577498,1,2,1029.4534,1070.7534996797585,1048.215
1078,5,1569577397,1,2,1029.4534,1070.7550463547086,1049.055
985,5,1569576096,1,2,962.6628,1070.7749693657133,927.9135000000001
766,5,1569576058,1,2,962.6628,1070.7755512830227,927.9135000000001
1243,5,1569575385,1,2,1112.6472,1070.7858573448248,1112.5305
1036,5,1569573502,1,2,1055.2047,1070.8146928788155,938.215
721,5,1569573302,1,2,836.48883,1070.8177556014925,793.315
778,5,1569572846,1,2,836.48883,1070.8247386091934,788.455
832,5,1569572105,1,2,836.48883,1070.8360859967033,824.245
828,5,1569571728,1,2,836.48883,1070.841859228949,822.425
756,5,1569570495,1,1,755.2558,982.6844447647163,756.075
688,5,1569569019,1,1,713.2697,982.707047658063,728.535
848,5,1569555595,1,1,841.16296,982.9126176040445,847.085
881,5,1569554162,1,1,860.49054,982.9345620120148,862.955
866,5,1569553224,1,1,857.3157,982.9489261813651,856.355
839,4,1569552361,1,4,986.71625,1263.2624974842547,950.42
1205,4,1569551447,1,4,1109.022,1263.2764941268833,1096.82
1005,4,1569550174,1,4,1087.0144,1263.2959883567128,1028.505
1014,4,1569549644,1,4,1087.0144,1263.3041045718019,1033.815
1154,4,1569548788,1,4,1123.7524,1263.3172130248531,1105.405
1126,4,1569547840,1,4,1123.7524,1263.3317303303338,1138.7
1197,4,1569547210,1,4,1154.5785,1263.3413779067632,1175.0
1245,4,1569545756,1,4,1154.5785,1263.363643900615,1166.645
946,4,1569545018,1,4,1025.4373,1263.3749453472883,1000.55
1076,4,1569544269,1,4,1044.9373,1263.386415243709,1007.895
848,4,1569543666,1,4,1010.7371,1263.395649352573,930.395
1073,4,1569543043,1,4,1046.626,1263.4051897337085,1056.58
1102,4,1569542383,1,4,1046.626,1263.4152967185364,1077.625
1065,4,1569541593,1,4,1046.626,1263.4273944731067,1067.64
1046,4,1569540568,1,4,1046.626,1263.4430909268194,1012.58
909,4,1569540024,1,4,1028.6526,1263.4514215324962,984.825
1110,4,1569539472,1,4,1106.9883,1263.4598746470801,1120.13
1216,4,1569539074,1,4,1205.2095,1263.4659694652037,1201.885
1434,4,1569538516,1,4,1297.5802,1263.474514461468,1359.38
1275,4,1569538037,1,4,1273.8035,1263.4818496822772,1256.095
1104,4,1569537598,1,4,1200.8494,1263.4885723585503,1223.485
1483,4,1569536999,1,4,1378.1115,1263.4977452129642,1353.31
1290,4,1569536408,1,4,1362.4016,1263.506795558471,1344.845
1441,4,1569535586,1,4,1362.4016,1263.5193833486665,1395.815
1328,4,1569534707,1,4,1362.4016,1263.532844014826,1355.46
1385,4,1569534254,1,4,1362.4016,1263.5397810816867,1375.03
1344,4,1569533324,1,4,1362.4016,1263.554022742126,1426.89
1666,4,1569532597,1,4,1509.6825,1263.565155739052,1615.965
1626,4,1569531754,1,4,1509.6825,1263.578065115129,1599.965
1403,4,1569531352,1,3,1391.1289,1175.4079250381837,1360.42
1260,4,1569530825,1,3,1391.1289,1175.4159953124326,1312.585
1413,4,1569530400,1,3,1391.1289,1175.422503598118,1401.295
1526,4,1569529904,1,3,1391.1289,1175.430099150355,1393.14
1077,4,1569529302,1,3,1201.0396,1175.4393179456056,1182.405
1324,4,1569529046,1,3,1258.4548,1175.4432382306331,1286.29
1325,4,1569528399,1,3,1258.4548,1175.4531461384868,1281.17
1166,4,1569527793,1,3,1258.4548,1175.4624261881945,1230.06
