tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,data_partida2,predicao_xgb 14 79,predicao_rf 14 79,predicao_lr 14 79,predicao_xgb 28 65,predicao_rf 28 65,predicao_lr 28 65,predicao_xgb 42 51,predicao_rf 42 51,predicao_lr 42 51,predicao_xgb 56 37,predicao_rf 56 37,predicao_lr 56 37,predicao_xgb 70 23,predicao_lr 70 23,predicao_rf 70 23
1466,4,1568926342,1,3,17,2019-09-19 17:52:22,1369.6301,1256.3314379854792,948.9204465917574,1387.7236,1349.9194674035023,1118.285062274499,1437.0857,1341.8853632055443,1291.2035517862132,1406.195,1337.8141632052743,1251.3576204728834,1410.9774,1242.8561219952944,1373.6350110092828
1423,4,1568926754,1,3,17,2019-09-19 17:59:14,1369.6301,1256.3314379854792,948.9028221296612,1387.7236,1349.9194674035023,1118.2785653157844,1437.0857,1341.8853632055443,1291.20883222657,1406.195,1337.8141632052743,1251.3600892110753,1410.9774,1242.8582441619337,1373.6350110092828
1604,4,1568927410,1,4,18,2019-09-19 18:10:10,1385.6228,1260.4696906844474,966.9961719995481,1387.7236,1345.5456543493974,1135.6611130616693,1437.0857,1330.7447678366955,1308.8930583019683,1406.195,1341.6650285393653,1268.3913023613604,1410.9774,1259.1954142591394,1375.4706388030247
1220,4,1568928358,1,4,18,2019-09-19 18:25:58,1385.6228,1260.4696906844474,966.9556186255795,1387.7236,1345.5456543493974,1135.6461637488937,1437.0857,1330.7447678366955,1308.9052084414288,1406.195,1341.6650285393653,1268.3969828560366,1410.9774,1259.2002973027675,1375.4706388030247
1343,4,1568928837,1,4,18,2019-09-19 18:33:57,1385.6228,1260.4696906844474,966.935128049503,1387.7236,1345.5456543493974,1135.6386102459182,1437.0857,1330.7447678366955,1308.911347594174,1406.195,1341.6650285393653,1268.3998530637891,1410.9774,1259.2027645790304,1375.4706388030247
1441,4,1568929458,1,4,18,2019-09-19 18:44:18,1385.6228,1260.4696906844474,966.9085630228801,1387.7236,1345.5456543493974,1135.628817499888,1437.0857,1330.7447678366955,1308.9193067045162,1406.195,1341.6650285393653,1268.4035741473272,1410.9774,1259.2059632816608,1375.4706388030247
1510,4,1568930281,1,4,18,2019-09-19 18:58:01,1385.6228,1260.4696906844474,966.8733568765019,1387.7236,1345.5456543493974,1135.6158393517726,1437.0857,1330.7447678366955,1308.929854768623,1406.195,1341.6650285393653,1268.4085056316308,1410.9774,1259.2102024640508,1375.4706388030247
1488,4,1568930483,1,4,19,2019-09-19 19:01:23,1346.124,1230.6340837994,984.9861278769531,1356.5189,1325.6232449250456,1153.0055463677054,1403.0754,1292.1213352024374,1326.6082621063542,1363.6726,1305.0915715110898,1285.4369983762354,1349.2241,1275.5450340572415,1265.4402823066014
1382,4,1568931222,1,4,19,2019-09-19 19:13:42,1346.124,1230.6340837994,984.9545150675112,1356.5189,1325.6232449250456,1152.993892842238,1403.0754,1292.1213352024374,1326.6177335758257,1363.6726,1305.0915715110898,1285.4414265255655,1349.2241,1275.5488405648803,1265.4402823066014
1374,4,1568931524,1,4,19,2019-09-19 19:18:44,1346.124,1230.6340837994,984.9415961656778,1356.5189,1325.6232449250456,1152.9891305084202,1403.0754,1292.1213352024374,1326.6216041898733,1363.6726,1305.0915715110898,1285.4432361346298,1349.2241,1275.5503961336299,1265.4402823066014
