tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,predicao_xgb_1,predicao_lr_1,predicao_rf_1,predicao_xgb_2,predicao_lr_2,predicao_rf_2,predicao_xgb_3,predicao_lr_3,predicao_rf_3,predicao_xgb_4,predicao_lr_4,predicao_rf_4
1113,1,1568678448,1,4,21,1160.0,1014.0,1122.0,1000.0,1110.2755,1246.2445959740671,1143.9993074575102,1080.8331,1177.4535642104117,1102.7915710274826,1094.0497,1177.4626824825953,1114.483074288479,1104.1129,1158.436892608091,1108.9364744851864
1041,1,1568677811,1,4,20,1113.0,1160.0,1014.0,1122.0,1179.4918,1212.1791872616345,1150.3048014957174,1142.9198,1204.2021325986368,1171.058245245075,1119.6783,1169.357987484613,1156.0059128579483,1135.5674,1174.43628236806,1162.9145782421438
1095,1,1568677180,1,4,20,1041.0,1113.0,1160.0,1014.0,1175.2257,1172.6971813001837,1150.2605241897998,1124.7692,1162.9060296156165,1140.5253915170313,1144.7715,1173.1908364708954,1158.3141156093202,1134.5737,1154.8144997306485,1139.7854108500012
1030,1,1568676642,1,4,20,1095.0,1041.0,1113.0,1160.0,1179.4918,1202.3072428500832,1154.6739342909968,1138.5298,1157.201974273031,1153.855815515241,1148.138,1158.3504451298315,1172.285368297735,1157.5531,1172.1880824276786,1166.9909403615927
1218,1,1568675588,1,4,20,1030.0,1095.0,1041.0,1113.0,1174.0444,1166.6630741460021,1149.4319558045268,1124.7692,1152.895585681558,1139.2259297555886,1104.8678,1137.5522013383809,1122.4217656678338,1117.9753,1146.836844652818,1142.3231732960983
1208,1,1568675144,1,4,20,1218.0,1030.0,1095.0,1041.0,1184.5944,1269.7519941460264,1180.6214187594676,1167.7347,1196.5288684557188,1188.4400172444193,1160.4266,1183.8921430142511,1160.0330772268449,1164.0879,1170.346411938504,1158.2782595677077
1315,1,1568674603,1,4,19,1208.0,1218.0,1030.0,1095.0,1299.9047,1255.9756239055796,1314.2356068774486,1265.1555,1250.6018346528078,1294.876584804181,1229.4229,1206.2741965113703,1253.1856977614807,1204.207,1197.0903173970682,1244.2144169393762
1440,1,1568674344,1,4,19,1315.0,1208.0,1218.0,1030.0,1356.0413,1314.6485640682913,1294.5416581319664,1296.273,1284.6667410997495,1285.6274859352939,1289.8284,1276.698169150479,1277.5471950276426,1258.6636,1239.1613516232546,1264.1254634532747
1263,1,1568673733,1,4,19,1440.0,1315.0,1208.0,1218.0,1397.9901,1383.1912783749376,1307.1581640937202,1405.4417,1365.0463522812768,1347.424031646138,1371.0624,1334.1442073123815,1343.663606078775,1368.3088,1321.7142899323185,1351.8118715120095
1332,1,1568673338,1,4,19,1263.0,1440.0,1315.0,1208.0,1354.4651,1286.1329968107675,1309.1885982240233,1375.0166,1345.783340909137,1337.2572762616198,1399.9965,1343.895668052646,1366.179813474053,1388.5167,1325.2007339427237,1363.2066179255041
