Teste,Rota,Modelo,Métrica,Valor
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,XGB,MAPE,0.1008792079729192
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,XGB,Tempo de treino,0.996937
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,XGB,Tempo de predição,0.3997
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,RF,RRSE,0.6833819436659814
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,RF,MAPE,0.10151907830675837
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,RF,Tempo de treino,0.874004
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,RF,Tempo de predição,0.107027
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,LR,RRSE,0.9423120479749986
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,LR,MAPE,0.15254267997885523
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,LR,Tempo de treino,0.1999
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva]",SP - 33642,LR,Tempo de predição,0.1005
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,XGB,RRSE,0.6899664434291213
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,XGB,MAPE,0.10153721083971098
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,XGB,Tempo de treino,1.61971
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,XGB,Tempo de predição,0.3996
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,RF,RRSE,0.6968241864429735
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,RF,MAPE,0.10502768391084613
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,RF,Tempo de treino,0.937003
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,RF,Tempo de predição,0.113
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,LR,RRSE,0.9155282711737597
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,LR,MAPE,0.15119639944823693
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,LR,Tempo de treino,0.2
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Calor]",SP - 33642,LR,Tempo de predição,0.1
