data_partida,tempo_viagem,partidaTimeStamp,dia_semana,tipo_dia,hora_dia,turno_dia,qtdDiasAno,Precipitacao,Temperatura,Chuva,Calor,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,tempo_viagem_5
2019-07-01 17:29:00,2760,1562002140,1,1,17,2,182,0.0,25.1,0,2,1680.0,2520.0,2160.0,2460.0,2280.0
2019-07-01 17:31:00,1860,1562002260,1,1,17,2,182,0.0,24.3,0,1,2760.0,1680.0,2520.0,2160.0,2460.0
2019-07-01 17:32:00,2760,1562002320,1,1,17,2,182,0.0,24.3,0,1,1860.0,2760.0,1680.0,2520.0,2160.0
2019-07-01 17:38:00,2940,1562002680,1,1,17,2,182,0.0,24.3,0,1,2760.0,1860.0,2760.0,1680.0,2520.0
2019-07-01 17:39:00,2220,1562002740,1,1,17,2,182,0.0,24.3,0,1,2940.0,2760.0,1860.0,2760.0,1680.0
2019-07-01 17:45:00,2940,1562003100,1,1,17,2,182,0.0,24.3,0,1,2220.0,2940.0,2760.0,1860.0,2760.0
2019-07-01 17:50:00,1740,1562003400,1,1,17,2,182,0.0,24.3,0,1,2940.0,2220.0,2940.0,2760.0,1860.0
2019-07-01 17:55:00,2460,1562003700,1,1,17,2,182,0.0,24.3,0,1,1740.0,2940.0,2220.0,2940.0,2760.0
2019-07-01 17:56:00,2820,1562003760,1,1,17,2,182,0.0,24.3,0,1,2460.0,1740.0,2940.0,2220.0,2940.0
2019-07-01 17:56:00,1920,1562003760,1,1,17,2,182,0.0,24.3,0,1,2820.0,2460.0,1740.0,2940.0,2220.0
2019-07-01 18:03:00,1860,1562004180,1,1,18,4,182,0.0,24.3,0,1,1920.0,2820.0,2460.0,1740.0,2940.0
2019-07-01 18:07:00,2820,1562004420,1,1,18,4,182,0.0,24.3,0,1,1860.0,1920.0,2820.0,2460.0,1740.0
2019-07-01 18:15:00,1440,1562004900,1,1,18,4,182,0.0,24.3,0,1,2820.0,1860.0,1920.0,2820.0,2460.0
2019-07-01 18:16:00,3000,1562004960,1,1,18,4,182,0.0,24.3,0,1,1440.0,2820.0,1860.0,1920.0,2820.0
2019-07-01 18:18:00,1620,1562005080,1,1,18,4,182,0.0,24.3,0,1,3000.0,1440.0,2820.0,1860.0,1920.0
2019-07-01 18:24:00,2640,1562005440,1,1,18,4,182,0.0,24.3,0,1,1620.0,3000.0,1440.0,2820.0,1860.0
2019-07-01 18:27:00,1500,1562005620,1,1,18,4,182,0.0,24.3,0,1,2640.0,1620.0,3000.0,1440.0,2820.0
2019-07-01 18:28:00,3060,1562005680,1,1,18,4,182,0.0,24.3,0,1,1500.0,2640.0,1620.0,3000.0,1440.0
2019-07-01 18:35:00,1500,1562006100,1,1,18,4,182,0.0,23.05,0,1,3060.0,1500.0,2640.0,1620.0,3000.0
2019-07-01 18:38:00,2640,1562006280,1,1,18,4,182,0.0,23.05,0,1,1500.0,3060.0,1500.0,2640.0,1620.0
2019-07-01 18:44:00,1320,1562006640,1,1,18,4,182,0.0,23.05,0,1,2640.0,1500.0,3060.0,1500.0,2640.0
2019-07-01 18:47:00,2760,1562006820,1,1,18,4,182,0.0,23.05,0,1,1320.0,2640.0,1500.0,3060.0,1500.0
2019-07-01 18:49:00,1680,1562006940,1,1,18,4,182,0.0,23.05,0,1,2760.0,1320.0,2640.0,1500.0,3060.0
